id,nota,clase,interfete,readme,diagrama,nrFisiere
1,1.04,7,190,0,1,655
2,6.67,492,245,1,0,598
3,6.93,363,249,1,1,620
4,6.75,182,4,1,0,137
5,3.59,389,45,1,1,626
6,7.62,44,92,1,0,249
7,6.43,232,43,0,1,515
8,4.23,357,119,1,1,507
9,6.48,58,181,1,0,386
10,2.31,497,224,1,0,13
11,2.01,146,87,1,1,52
12,3.69,26,41,1,0,393
13,1.87,229,101,0,0,534
14,8.99,351,248,1,0,614
15,6.55,477,254,1,1,127
16,7.66,138,157,1,0,13
17,9.06,329,165,1,1,78
18,6.74,48,299,0,0,352
19,2.13,328,79,0,1,22
20,3.58,329,30,0,1,270
21,4.82,156,188,1,0,510
22,7.55,117,120,0,1,496
23,9.41,332,72,0,1,277
24,6.62,428,148,0,1,400
25,1.44,201,224,0,1,351
26,4.59,154,13,1,1,215
27,9.45,20,276,1,0,324
28,5.45,434,119,1,1,276
29,3.11,493,107,1,1,154
30,4.21,363,66,1,1,82
31,1.26,157,6,1,1,188
32,4.37,148,21,0,0,551
33,6.22,374,28,1,0,539
34,5.7,107,228,0,1,109
35,6.92,38,296,1,1,404
36,7.24,489,189,0,0,613
37,1.53,184,67,1,1,53
38,5.62,9,158,0,0,683
39,3.79,291,119,0,1,136
40,1.75,302,169,1,0,574
41,2.75,213,252,0,1,541
42,4.17,8,261,0,1,505
43,8.65,36,108,0,0,276
44,5.58,297,55,0,0,447
45,8.11,458,150,0,0,203
46,3.25,428,5,0,1,73
47,4.1,62,25,1,1,90
48,5.46,328,201,1,0,292
49,2.05,453,147,0,0,376
50,2.5,440,1,1,0,148
51,6.29,183,99,1,1,659
52,6.18,445,17,1,0,266
53,9.05,475,151,0,1,566
54,8.34,443,80,0,1,344
55,1.87,461,220,0,1,249
56,7.5,448,38,0,1,228
57,3.45,333,208,0,0,336
58,4.61,213,175,1,1,242
59,1.27,253,32,0,1,474
60,2.15,394,213,1,1,135
61,5.61,77,266,0,0,638
62,1.08,287,222,0,0,116
63,8.97,61,78,0,1,110
64,5.32,107,264,1,1,161
65,9.14,289,167,0,0,157
66,2.23,51,33,1,0,473
67,4.95,316,276,0,0,501
68,5.15,159,259,0,0,635
69,1.07,309,241,1,0,592
70,4.58,420,296,0,0,235
71,9.71,220,73,0,1,339
72,9.48,23,149,0,1,625
73,9.68,259,8,1,1,277
74,1.79,306,35,0,0,135
75,9.32,391,83,1,0,698
76,5.99,449,141,1,0,117
77,7.11,203,20,1,1,279
78,5.23,280,268,1,1,602
79,2.96,394,169,0,1,263
80,9.77,403,114,0,1,438
81,1.02,26,190,1,0,233
82,4.93,306,207,0,1,101
83,9.01,171,278,0,0,104
84,6.34,425,168,0,1,478
85,8.47,488,233,1,1,22
86,7.47,139,70,1,0,107
87,9.36,77,290,1,1,35
88,3.43,3,96,1,0,412
89,4.07,385,214,1,1,132
90,2.93,468,25,0,1,123
91,9.18,449,251,1,0,108
92,8.87,265,264,1,0,618
93,9.85,367,3,0,1,378
94,8.25,69,3,0,1,205
95,7.86,388,215,0,1,439
96,3.6,146,77,0,0,482
97,2.25,114,168,0,1,691
98,6.52,249,84,0,0,177
99,4.59,195,150,1,0,645
100,8.97,410,150,1,0,94
101,6.38,399,47,0,1,164
102,2.51,258,146,0,1,198
103,5.11,15,28,0,0,302
104,3.44,70,61,1,1,517
105,2.88,72,172,0,1,118
