Id,Diagrama de clase,Readme,Numar de clase,Numar clase normale,Numar clase abstracte,Numar interfete,Numar mosteniri,Numar functii virtuale,Numar total de fisiere,Templateuri,liniiCod
51,1,1,15,15,0,0,5,0,39,1,900
52,1,1,12,12,1,0,2,4,34,1,1290
53,1,0,29,2,27,0,13,58,81,1,628
54,1,0,17,13,4,0,7,29,44,1,430
55,0,1,24,21,0,2,13,16,89,1,882
56,1,1,20,11,9,0,14,83,47,2,1237
74,0,1,23,17,4,1,16,15,121,0,411
75,1,1,22,15,10,0,11,18,81,1,537
76,1,0,20,18,1,2,6,9,50,1,445
77,1,1,18,15,2,0,8,9,48,1,495
78,1,1,15,11,2,1,7,6,36,1,416
79,1,1,12,10,1,0,3,2,30,1,234
